No,Bahasa Manado,Bahasa Indonesia
232,Burako,Bertindak Kasar
233,Busu,Busuk
234,Buta-Buta,Nekat
235,Cabiu,Kotoran Telinga
236,Cabu,Cabut
237,Cada,Kurus
238,Calana,Celana
239,Calana Golpi,Celana Pendek
240,Calana Papo,Celana Longgar
241,Cambok,Cambuk
242,Camu-Camu,Ngemil
243,Cao,Bolos
244,Cap Tikus,Minuman Beralkohol
245,Caparuni,Jorok
246,Capat,Cepat
247,Capeo,Topi
248,Cari Doi,Cari Uang
249,Cari Slak,Cari Cara
250,Carlota,Cerewet
251,Ceke,Makan
252,Cere,Cerai
253,Cewe,Cewek
254,Cica,Cecak
255,Cica Binkarong,Kadal Kecil
256,Cico,Centil
257,Cico,Berlebihan
258,Ciong,Cium
259,Ciri,Jatuh
260,Colo,Celup
261,Copa,Pegang-Pegang
262,Cowo,Cowok
263,Cucu,Tusuk
264,Cui,Hubungan Intim 
265,Cukurungan,Umpatan Kekesalan
266,Cuma,Hanya
267,Cumu,Sebut
268,Cungkel,Cungkil
269,Dang,Ya
270,Dang,Lah
271,Daong,Daun
272,Dapa,Dapat
273,Dapa Lia,Kelihatan
274,Dapa Straf,Mendapat Ganjaran
275,Dapa Tau,Ketahuan
276,Dego-Dego,Tempat Duduk
277,Deng,Dengan
278,Depe,Dia Punya
279,Depe,Miliknya
280,Depe,Kata Awalan
281,Di Sei,Di Samping
282,Dodeso,Perangkap Hewan
283,Dodika,Talenan Batu
284,Dodoku,Jembatan
285,Dodutu,Alu
286,Dofoma,Bekal Makanan 
287,Doi,Uang
288,Dola,Hadang
289,Dolong,Air Dalam
290,Domatu,Tanah Keras
291,Dorang,Mereka
292,Dos,Dus
293,Dotu,Kepala Warga
294,Dromulen,Pasar Malam
295,Dudu,Duduk
296,Dusu,Kejar
297,Enter,Kata Perbandingan
298,Enteru,Utuh
299,Ewe,Air Liur
300,Falao,Pingsan
301,Falo-Falo,Gayung
302,Farmak,Permak
303,Fastiu,Bosan
304,Forat,Simpanan
305,Forek,Garpu
306,Forsa,Kuat
307,Foya,Lama
308,Frei,Bebas
309,Fresko,Segar
310,Fruk,Pagi-Pagi
311,Fufu,Diasapi
312,Fugado,Gerah
313,Fui-Fui,Sihir
314,Fulungku,Tinju
315,Gaco,Andalan
316,Gaga,Bagus
317,Gale,Gali
318,Gantong,Gantung
319,Gara,Ejek
320,Garfu,Garpu
321,Gargantang,Tenggorokan
322,Garida,Genit
323,Garida ,Genit
324,Garo,Garuk
325,Gartak,Gertak
326,Gate,Kait
327,Gepe,Jepit
328,Gepe- Gepe,Jepitan
329,Glap,Gelap
330,Gode,Gendut
331,Gofela,Nyamuk
332,Gogohia,Panu
333,Golojo,Rakus
334,Golojo,Rakus
335,Gomu,Lebam
336,Gonofu,Sabut Kelapa
337,Gonone,Binatang Gatal
338,Gora,Jambu Air
339,Goraka,Jahe
340,Goro,Karet Gelang
341,Goso,Gosok
342,Grap,Lucu
343,Grendel,Kunci
344,Gros,Besar
345,Gula  Batu,Aren
346,Gula Batu,Gula Merah
347,Gula-Gula,Permen
348,Haga,Tatap
349,Hamis,Basi
350,Hela,Tarik
351,Hidop,Hidup
352,Hoba,Intip
353,Hoga,Setan
354,Holven,Berombak-Ombak
355,Hordeng,Gordyn
356,Hosa,Tersengal-Sengal
357,Huk,Sudut
358,Hukum Tua,Orang Pemerintahan
359,Idong,Hidung
360,Ijo,Hijau
361,Ika,Ikat
362,Ikang,Ikan
363,Iko,Ikut
364,Ilang,Hilang
365,Inga,Ingat
366,Injang,Injak
367,Io,Iya
368,Isap,Hisap
369,Itang,Hitam
370,Iyo,Iya
371,Iyo,Iya
372,Iyo Stow,Iya Kali
373,Jaga Blengko,Jaga Tempat
374,Jaga Blengko,Jaga Pos
375,Jaha,Jahat
376,Jalang,Jalan
377,Jang,Jangan
378,Jantong,Jantung
379,Jao,Jauh
380,Jare,Jari
381,Jatung,Jatuh
382,Jeket,Jaket
383,Jo,Saja
384,Jongko,Jongkok
385,Jumir,Tumit
386,Ka,Ke
387,Kadera,Kursi
388,Kadondong,Kedondong
389,Kaeng,Kain
390,Kaeng,Kain
391,Kage,Kaget
392,Kakarlak,Kecoak
393,Kalamaring,Kemarin
394,Kalo,Kalau
395,Kalong,Kalung
396,Kaluar,Keluar
397,Kamana,Kemana
398,Kamari,Kemari
399,Kana,Kena
400,Kandas,Sendat
401,Kangkong,Kangkung
402,Kanikir,Kelereng
403,Kanino,Kecil
404,Kano-Kano,Ilalang 
405,Kanyang,Kenyang
406,Kaos Gandengan,Kaos Dalam 
407,Kapala,Kepala
408,Kapo,Kapok
409,Kaseh,Beri
410,Kasiang,Kasihan
411,Katu,Lah
412,Katu,Dong
413,Katula,Kena Batunya 
414,Kaweng,Kawin
415,Kayabu,Kue Manado
416,Kebun,Kobong
417,Kefe,Pundak
418,Kegerahan,Binaut
419,Kele,Jepit Lengan
420,Kema,Tenda
421,Kempes,Gembos
422,Kendis,Lesung Pipit
423,Kening,Alis Mata
424,Kento,Pincang
425,Keyken,Melihat Jelas
426,Kiapa,Kenapa
427,Kiapa Lei,Kenapa Lagi
428,Kile,Gelitik
429,Kile-Kile,Ketiak
430,Kincing,Kencing
431,Kita,Saya
432,Kiting,Jepit Leher
433,Klaar,Selesai
434,Klompok,Kelompok
435,Knop,Kancing
436,Kobong,Kebun
437,Koco,Gocek (Bola)
438,Koco,Kocok
439,Kodomo,Anak-Anak
440,Koi,Ranjang
441,Koleto,Cubit
442,Kong,Lalu
443,Konto,Kentut
444,Kopor,Koper
445,Kore,Sentuh
446,Kote,Ternyata
447,Kran,Keran
448,Kremos,Dekil
449,Kre'Mus,Tubuh Kotor
450,Kuai,Takut
451,Kuala,Sungai
452,Kuca,Kucek
453,Kukis,Kue
454,Kuli,Kulit
455,Kuneneng,Undur-Undur
456,Kusu-Kusu,Ilalang
457,Kwa,Lah
458,Kyapa,Kenapa
459,Labrak,Samperin
460,Laeng,Lain
461,Laju,Cepat
462,Lalah,Lelah
463,Lantaran,Karena
464,Lantarang,Karena
465,Lante,Lantai
466,Lanut,Tidak Kering 
467,Lanut,Kenyal
468,Lao-Lao,Suam
469,Lap,Tampar
470,Lap,Tempeleng
471,Lapan,Delapan
472,Lapas,Lepas
473,Laste,Terakhir
474,Lat,Telat
475,Le,Juga
476,Lebe,Lebih
477,Lego,Buang
478,Lemong,Jeruk
479,Lender,Lendir
480,Lenso,Sapu Tangan
481,Leo,Bohong
482,Lepe,Lemah
483,Leper,Sendok
484,Leput,Mata Air
485,Leput,Tempat Duduk
486,Lia,Lihat
487,Linces,Cekatan
488,Lobang,Lubang
489,Lohang,Perempuan Nakal
490,Loku,Tangkap
491,Lombo,Lunak
492,Lucur,Lepas
493,Mabo,Mabuk
494,Macis,Korek Api
495,Mafafa,Dahan Kelapa
496,Mafana,Atap
497,Maitua,Istri
498,Makang Puji,Sombong
499,Makase,Terima Kasih
500,Maklom,Ongkos Jahit
501,Malamise,Tenggelam
502,Malendong,Keroyok
503,Malimbuku,Tergulung
504,Malintuang,Terjungkal
505,Malo,Malu
506,Malopoh,Melepuh
507,Mama,Ajus
508,Mana Mana,Terserah
509,Manangis,Menangis
510,Mandidi,Mendidih
511,Mangada,Menghadap
512,Mangael,Mengail
513,Manganto,Mengantuk
514,Mangarti,Mengerti
515,Manggoro,Mendengkur
516,Mangiri,Iri Hati
517,Mangkage,Terpesona
518,Mangkilat,Mengkilap
519,Maniso,Ganjen
520,Manjo,Ayo
521,Manjo,Ayo
522,Mantah,Mentah
523,Mantega,Mentega
524,Manucu,Linu
525,Manucu,Nyeri
526,Manyala,Menyala
527,Manyasal,Menyesal
528,Mar,Tapi
529,Maraju,Merajuk
530,Mari Jo,Ayo
531,Marijo,Ayo
532,Martelu,Martil
533,Martelu,Palu
534,Maruku,Menunduk
535,Maso,Masuk
536,Masominta,Melamar
537,Masoso,Laki Nakal
538,Mata Belo,Mata Juling
539,Mata Pete,Penyakit Mata
540,Meme,Kelamin Wanita
541,Mencuci Baju,Bobaso
542,Mentes,Tidak Ada Uang
543,Milu,Jagung
544,Minya,Minyak
545,Mo,Mau
546,Momake,Memaki
547,Momaras,Potong Rumput
548,Momasa,Memasak
549,Muka,Wajah 
550,Muka,Depan
551,Muka Brot,Wajah Jengkel
552,Muka Streng,Ekspresi Marah
553,Mulu,Mulut
554,Mulu Antar,Penggosip
555,Nae,Naik
556,Nanti Jo,Nanti Saja
557,Napa,Ini
558,Nembole,Tidak Bisa
559,Nentau,Tidak Tahu
560,Ngana,Kamu
561,Ngoni,Kalian
562,Nimau,Tidak Mau
563,Nimau,Gamau
564,Nimbole,Tidak Boleh
565,Nintau,Tidak Tahu
566,Nintau Diri,Tidak Beradab
567,Nyanda,Tidak
568,Nyanda Baskeit,Tidak Menegur
569,Nyanda Mangente,Tidak Peduli
570,Nyanda Hambak,Pengangguran
571,Nyong,Anak Pria
572,Ofu,Tawon
573,Ojo,Remas Kuat
574,Oma,Nenek
575,Ombong,Embun
576,Onderneming,Perkebunan
577,Ondersuk,Mencari Tahu
578,Ondersuk,Menyelidiki
579,Ondo,Menimang
580,Ontak,Otak
581,Opa,Kakek
582,Oras,Waktu
583,Oto,Mobil
584,Ovor,Oper
585,Pa,Kepada
586,Pa Dia,Kepada Dia
587,Pa Dia,Padanya
588,Pa Kira,Pada Saya
589,Pacol,Cangkul
590,Padede,Lembek Sekali
591,Pai,Besa
592,Pait,Pahit
593,Paitua,Suami
594,Paka Tangan,Tepuk Tangan
595,Pakat,Tersendat-Sendat
596,Pake,Pakai
597,Palakat,Pengumuman
598,Pala-Pala,Paha
599,Pali,Sandung
600,Palinggir,Layang Layang
601,Palo-Palo,Gayung
602,Pambafeto,Marah
603,Pambapusing,Ikut Campur
604,Pamenter,Jago Membidik 
605,Pampele,Gorden
606,Pampele,Tirai
607,Panako,Penakut
608,Pancuri,Pencuri
609,Pande,Pintar
610,Pangbacarita,Doyan Ngobrol
611,Pangbamulu,Penggosip
612,Panggal,Penggal
613,Pangge,Panggil
614,Pangmarah,Gampang Marah
615,Pangtau,Kepo
616,Paniki,Kelelawar
617,Panta,Pantat
618,Pante,Pantai
619,Pantera,Jitu
620,Pantera,Jagoan Menebak
621,Panyaki,Penyakit
622,Papa,Sebe
623,Papancuri,Maling
624,Papang,Papan
625,Para-Para,Tatakan Piring
626,Parcaya,Percaya
627,Parigi,Sumur
628,Parlente,Necis
629,Pars,Ungu
630,Parsetang,Masa Bodoh
631,Paser,Pasir
632,Pasiar,Berkunjung
633,Pasiar,Pesiar
634,Pasiar ,Berkunjung
635,Pas-Pas,Tepat Ada
636,Pastiu,Kesal
637,Pasung,Cantik
638,Patong,Patung
639,Pece,Lumpur
640,Peda,Parang
641,Pela,Patahkan
642,Pele,Tahan
643,Pete,Petik
644,Piara,Pelihara
645,Pica,Pecah
646,Pici,Pilin
647,Pidis,Pedas
648,Pigi,Pergi
649,Pila-Pila,Sayap
650,Pimana,Pergi Kemana
651,Piso,Pisau
652,Place,Teras
653,Plaka,Roboh
654,Plang,Pelan
655,Plein,Lapangan
656,Poci,Perawan
657,Poco-Poco,Bodi Bagus
658,Podeng,Puding
659,Pohon Terang,Pohon Natal
660,Pohong,Pohon
661,Pohong Seho,Pohon Enau
662,Poki-Poki,Terong
663,Poleo,Buka Paksa
664,Polo,Peluk
665,Polo,Peluk
666,Polo,Peluk
667,Poloi,Lubang Pantat
668,Polote,Meletus
669,Pombo,Burung Merpati
670,Pongo,Tuli
671,Pongo-Pongo,Pipi
672,Popare,Pare
673,Popaya,Pepaya
674,Popi,Boneka
675,Popoji,Saku
676,Poyoyo,Terlihat Tua
677,Pranakan,Peranakan
678,Prop,Sumbat
679,Purici,Cubit
680,Purici,Remas Kuat
681,Puru,Perut
682,Pusa,Pusar
683,Pustema,Kelamin
684,Putar Bale,Pembohong
685,Rado,Tarik Paksa
686,Rako,Menghajar
687,Rambu,Rambut
688,Rambu Krol,Rambut Ikal
689,Rameji,Usahakan
690,Rampah-Rampah,Rempah-Rempah
691,Rante,Rantai
692,Rarangowan,Cepat Marah
693,Reis,Kue Mengembang
694,Rekeng,Hitung
695,Rewes,Kerutan Lemak
696,Rica,Cabai
697,Riki,Kedapatan 
698,Riki,Sampai
699,Riki,Jangkau
700,Rinte-Rinte,Gerimis
701,Rinte-Rinte,Gerimis
702,Ron,Keliling
703,Ron,Putaran
704,Rope,Ompong
705,Roto-Roto,Tidak Rata
706,Royal,Boros
707,Rubus,Rebus
708,Ruci,Curang
709,Rumpu,Rumput
710,Sabantar,Sebentar
711,Sabong,Sabun
712,Sabuah,Terung
713,Sadap,Sedap
714,Sadiki,Sedikit
715,Sagala,Segala
716,Saguer,Minuman Beralkohol
717,Saki,Sakit
718,Saleng,Menyalin
719,Salese,Keseleo
720,Sambar,Tabrak
721,Sambarang,Sembarang
722,Sambiki,Labu
723,Sambilang,Sembilan
724,Sampe,Sampai
725,Sampuraga,Tidak Teratur
726,Samua,Semua
727,Sanang,Senang
728,Sandiri,Sendiri
729,Sapa,Siapa
730,Sapu-Sapu,Belai
731,Sarong,Sarung
732,Sayor,Sayur
733,Sebe,Papa
734,Sefor,Memberi Keuntungan 
735,Sei,Samping
736,Seka,Lap
737,Selop,Sandal
738,Seno,Gila
739,Serabut Kelapa,Gonofu
740,Sest,Ungkapan Menjijikan 
741,Sest,Wanita Sebaya
742,Seze,Idih
743,Simpang,Simpan
744,Skali,Sekali
745,Skep,Serokan
746,Skop,Tendang
747,Slaber,Pel
748,Slak,Sela
749,Slop,Sandal
750,Slot,Kunci
751,Smer,Belepotan
752,Smer,Semir
753,Smokol,Sarapan
754,So,Sudah
755,So Balaeng ,Selingkuh
756,So Nintau,Tidak Tahu
757,Soe,Sial
758,Soe,Tidak Beruntung
759,Sogo,Jambut
760,Sombar,Teduh.
761,Somo,Sudah Mau
762,Somu-Somu,Mendung
763,Sondo,Cedok
764,Sondo,Centong
765,Sondor,Tanpa
766,Songara,Sangrai
767,Sorodo,Rakus
768,Sorong,Geser
769,Sosere,Sindir
770,Sosiru,Nyiru
771,Soso,Dekati
772,Sosuru,Selip
773,Sosuru,Sisip
774,Sosuru,Sembunyi
775,Sous,Saus
776,Span,Ketat
777,Spanggal,Sepenggal
778,Spekol,Spekulasi
779,Spik,Contek
780,Spoit,Muncrat
781,Spoit,Semprot
782,Sprampat,Seperempat
783,Spul,Bilas
784,Spuluh,Sepuluh
785,Stengah,Setengah
786,Stou,Mungkin
787,Strekel,Rusak
788,Strep,Belang
789,Strika,Seterika
790,Suak,Capek
791,Suar,Keringat
792,Sudah Jo,Sudahlah
793,Sudara,Saudara
794,Sumore,Senang
795,Suntung,Cumi-Cumi
796,Supi,Rheumatik
797,Susere,Menghina
798,Ta Ambor,Terhambur
799,Ta Ambor,Berserakan
800,Ta Palisi,Terpeleset
801,Ta Pe,Saya Punya
802,Ta Punya,Kita Punya
803,Ta Sono,Tertidur
804,Tabakar,Terbakar
805,Tabako,Tembakau
806,Tablah,Terbelah
807,Tabobale,Terbalik
808,Tafiaro,Tercerai-Berai
809,Tafiaro,Berantakan
810,Tafuraga,Berantakan
811,Tagaris-Garis,Baret-Baret
812,Tagepe,Terjepit
813,Taguling,Terguling
814,Tai,Kotoran
815,Tako,Takut
816,Tako,Takut
817,Takupas,Terkelupas
818,Talalu,Terlalu
819,Talanggar Skali,Sangat Keterlaluan
820,Talanjang,Telanjang
821,Talat,Terlambat
822,Talimburang,Berantakan
823,Talipa,Terlipat
824,Tamako,Kapak
825,Tampa,Tempat
826,Tampeleng,Tempeleng
827,Tampurung,Tempurung
828,Tanah Goyang,Gempa Bumi
829,Tanang,Tanam
830,Tangka,Tangkap
831,Tangka,Tangkap
832,Tanta,Tante
833,Taong,Tahun
834,Taong Baru,Tahun Baru
835,Tapala,Mental
836,Tapalisi,Terpeleset
837,Tapela,Terbelah
838,Tapiong-Piong,Kebingungan
839,Taplaka,Tengkurap
840,Taplanteng,Terpental
841,Taplisi,Terpeleset
842,Taprop,Tersumbat
843,Tarabe,Robek
844,Tarek,Tarik
845,Tarek,Tarik
846,Tarika,Jatuh Terlentang
847,Tasangko,Tersangkut
848,Tasenga,Kaki Terbuka 
849,Tasiguju,Berpapasan
850,Tasiguju,Jatuh Tersudut
851,Taslak,Pas Ada
852,Tasmer,Cemot
853,Tasono,Tertidur
854,Tasopu,Baru Tiba
855,Tasua,Tidak Disangka
856,Tatadah,Hentakan
857,Tatawa,Tertawa
858,Tatigo,Keselek
859,Tatoki,Terbentur (Kepala)
860,Tatumpa,Tertumpah
861,Tau,Tahu
862,Tavlak,Taplak Meja
863,Tawa,Lemak Daging
864,Teh Putih,Air Putih
865,Tehel,Keramik Lantai
866,Tekeng,Unjuk
867,Tela,Batu Bata
868,Temba,Tembak
869,Tengki,Tangki
870,Teru Air,Masak Air
871,Testa,Dahi
872,Teto,Patuk
873,Tidor,Tidur
874,Tikang,Tikam
875,Tindis,Pencet
876,Tiop,Tiup
877,Tofor,Dangkal
878,Toki,Ketok
879,Tola,Dorong
880,Tola-Tola,Cemilan
881,Tolor,Telur
882,Tombong,Tunas Kelapa
883,Tongka,Topang
884,Tono,Rendam
885,Tonti,Kelamin Pria
886,Topong,Tepung
887,Torang,Kita
888,Tore,Renyah
889,Totara,Kayu Standard 
890,Toto,Payudara
891,Totofore,Menggigil
892,Towo ,Berenang
893,Trang,Mengayuh Sepeda
894,Trap,Sepeda
895,Tre,Lurus
896,Trus,Terus
897,Tubruk,Tabrak
898,Tumbu,Tumbuk
899,Tumongkor,Bangunan Menumpang
900,Tumpa,Tumpah
901,Tunjung,Tunjuk
902,Turung,Turun
903,Tusa,Kucing
904,Tusa,Kucing
905,Tus-Tus,Nasi Sisa
906,Tutu,Tutup
907,Tuturuga,Kura-Kura
908,Ubi Bete,Talas
909,Ubi Kayu,Singkong
910,Ujang,Hujan
911,Ular Patola,Ular Sanca
912,Unti,Isian Bakpao
913,Untus,Bibir Dower
914,Ure,Ulur
915,Utang,Hutang
916,Vol,Penuh
917,Vor,Untuk
918,Vruk,Lebih Cepat
919,Vruk,Pagi-Pagi
920,Warong,Warung
921,Wayer,Baling-Baling
922,Yaki,Monyet
923,Zoa-Zoa,uang
